,ML,loss,Input Num,Input,weight,MAPE train,MAPE test,MAPE val
320,lgb,l2,7,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_add', 'matrix_addloop']",1,0.030970585,0.06225794,0.068608554
432,lgb,l2,9,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_add', 'matrix_addloop']",1,0.028050615,0.0622875,0.071886674
15,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_dotloop']",1,0.030415033,0.062345859,0.066765286
121,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",1,0.030415033,0.062345859,0.066765286
94,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_addloop']",1,0.030496333,0.062352051,0.06767884
60,lgb,l2,5,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_dot', 'matrix_addloop']",1,0.031439951,0.062361571,0.069816898
72,lgb,l2,5,"['Total Frames', 'Params', 'matrix_conv', 'matrix_dotloop', 'matrix_addloop']",1,0.026353565,0.062371479,0.069126258
199,lgb,l2,6,"['Total Frames', 'Params', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop', 'matrix_addloop']",1,0.026353565,0.062371479,0.069126258
369,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_convloop', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.028722562,0.062379557,0.068263012
133,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_convloop', 'matrix_dotloop', 'matrix_add']",1,0.028169529,0.062389084,0.069636996
55,lgb,l2,5,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dotloop']",1,0.03277936,0.062418014,0.06544385
