,ML,loss,Input Num,Input,MAPE train(%),MAPE val(%),MAPE test(%),Leave One
1706,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.88112,3.46821,33.29364,13th corei5 - GTX1650
1707,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.53226,3.09355,25.24968,1th Xeon Gold - RTX4070
1708,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.78383,3.51564,10.84312,13th corei7 - RTX3050
1709,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.5473,3.19428,15.47327,13th corei5 - GTX1080
1710,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.48745,3.13795,27.99236,13th corei5 - RTX4070
1711,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.48017,3.2389,14.39536,13th corei7 - RTX3060 Ti
1712,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.79492,3.37429,11.95573,13th corei5 - RTX3050
1713,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.77832,3.35611,21.735,1th Xeon Gold - GTX1080
1714,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.72404,3.21736,22.32349,9th corei7 - RTX2080 Ti
1715,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'gpu_boost_clock(GHz)']",2.60453,3.09102,12.96158,13th corei7 - RTX4070
1716,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",4.80399,5.45434,20.22273,13th corei5 - RTX3060 Ti
1717,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'cpu_cache(MB)', 'gpu_core', 'VRAM(GB)']",3.7492,4.4756,16.87369,13th corei7 - GTX1080
