,Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),transfer_all,transfer_continuous,transfer_roundtrip,matrix_conv,matrix_convloop,matrix_dot,matrix_dotloop,matrix_add,matrix_addloop
493,frame1000_4,1000,338,640,216320,218.37547492980957,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,153.399995803833,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
322,frame2000_15,2000,360,640,230400,697.5388469696045,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.85003161430359,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
323,frame2000_2,2000,360,640,230400,689.4442510604858,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,44.01206088066101,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
418,frame2000_14,2000,360,640,230400,752.9554786682129,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,42.79387021064758,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
476,frame4000_1,4000,360,640,230400,1780.361890792847,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,85.42109298706055,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
569,frame3500_7,3500,540,960,518400,3085.3826293945312,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,568.2176899909973,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
562,frame3500_1,3500,720,1280,921600,4805.743712425232,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,572.8122668266296,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
438,frame2500_18,2500,360,640,230400,589.4090147018433,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,52.429962396621704,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
567,frame3500_5,3500,720,1280,921600,4769.266528129578,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,573.0070126056671,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
468,frame3500_3,3500,720,1280,921600,5747.368581771851,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,77.20343375205994,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
390,frame0500_2,500,360,640,230400,118.56429481506348,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,10.665709018707275,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
488,frame0500_3,500,2160,3840,8294400,2999.1242027282715,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,85.741215467453,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
534,frame2500_17,2500,360,640,230400,897.2026824951172,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,408.39391708374023,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
406,frame1500_4,1500,360,640,230400,514.2756662368774,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,31.40739870071411,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
556,frame3000_5,3000,540,960,518400,2610.4615926742554,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,489.18647146224976,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
363,frame3000_6,3000,360,640,230400,941.1938095092772,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,66.44167470932007,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
316,frame2000_1,2000,360,640,230400,841.1509265899658,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,44.00073480606079,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
456,frame3000_2,3000,360,640,230400,1054.5900554656982,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,64.57857537269592,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
578,frame4500_0,4500,540,960,518400,2751.66600894928,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,729.5654807090759,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
465,frame3500_1,3500,720,1280,921600,4805.743712425232,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,78.18408393859863,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
580,frame4500_2,4500,360,640,230400,1522.766714096069,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,735.6117651462555,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
330,frame2000_9,2000,720,1280,921600,3432.654037475586,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.461528301239014,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
484,frame4500_3,4500,360,640,230400,1688.6479215621948,13th corei7 - GTX1080,pytorch/ssd300_vgg16,35641826,81,97.50701379776,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
379,frame4000_1,4000,360,640,230400,1780.361890792847,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,87.96072769165039,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
361,frame3000_4,3000,720,1280,921600,4531.257173538208,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,65.11977672576904,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
378,frame4000_0,4000,720,1280,921600,5543.311743736267,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,86.96886205673218,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
533,frame2500_16,2500,720,1280,921600,3324.8714685440063,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,410.1038522720337,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
568,frame3500_6,3500,360,640,230400,1480.9324951171875,13th corei7 - GTX1080,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,570.3846211433411,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
